번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),위생업태명
1,제과점영업,07_22_01_P,3230000,3230000-104-2025-00225,2025-06-20,,01,영업/정상,01,영업,,,,,,33.00,138-826,서울특별시 송파구 문정동 68-21,"서울특별시 송파구 새말로5길 6, 103호 (문정동)",05808,꾸미케이크 KKUMI CAKE,2025-06-20 11:26:48,I,2024-12-05 22:02:00.0,기타 휴게음식점,210964.573543664,442351.597138592,기타 휴게음식점
2,제과점영업,07_22_01_P,3230000,3230000-104-2021-00166,2021-05-25,,01,영업/정상,01,영업,,,,,02  32848116,3.30,138-825,서울특별시 송파구 문정동 36,"서울특별시 송파구 동남로6길 39, 1층 (문정동)",05803,세븐일레븐 문정프리미엄점,2025-05-14 13:25:17,U,2024-12-04 23:06:00.0,편의점,211031.816191024,442754.56853852,편의점
3,제과점영업,07_22_01_P,3230000,3230000-104-2025-00419,2025-11-11,,01,영업/정상,01,영업,,,,,,21.09,138-200,서울특별시 송파구 문정동 89-14 예성,"서울특별시 송파구 문정로4길 23, 예성 1층 101호 (문정동, 예성)",05809,우주,2025-11-11 16:47:04,I,2024-10-31 23:03:00.0,커피숍,211114.693643212,442451.849561404,커피숍
4,제과점영업,07_22_01_P,3230000,3230000-104-2025-00428,2025-11-14,,01,영업/정상,01,영업,,,,,,31.61,138-960,서울특별시 송파구 문정동 634 가든파이브라이프,"서울특별시 송파구 충민로 66, 가든파이브라이프 제지1층 제 비에프1087호 (문정동)",05838,선차문화원,2025-11-14 15:07:26,I,2024-10-31 23:06:00.0,커피숍,210986.460698452,441725.293491662,커피숍
5,제과점영업,07_22_01_P,3230000,3230000-104-2025-00183,2025-05-20,,01,영업/정상,01,영업,,,,,,56.27,138-888,서울특별시 송파구 문정동 651 문정역테라타워,"서울특별시 송파구 송파대로 167, 문정역테라타워 A동 1층 168호 (문정동)",05855,카페 테라 cafe TERa,2025-05-20 14:27:16,I,2024-12-04 22:02:00.0,커피숍,,,커피숍
6,제과점영업,07_22_01_P,3230000,3230000-104-2025-00361,2025-09-29,,01,영업/정상,01,영업,,,,,,29.00,138-826,서울특별시 송파구 문정동 55-6 문정역 마에스트로,"서울특별시 송파구 문정로 1, 지하2층 B201~B204호 (문정동, 문정역 마에스트로)",05806,레벨업 PC방,2025-09-29 15:22:02,I,2024-10-31 00:01:00.0,기타 휴게음식점,210813.51310976,442691.180644406,기타 휴게음식점
7,제과점영업,07_22_01_P,3230000,3230000-104-2025-00187,2025-05-23,,01,영업/정상,01,영업,,,,,,54.78,138-200,서울특별시 송파구 문정동 141-2,"서울특별시 송파구 송이로37길 11, 1층 (문정동)",05798,카페 해유담,2025-05-23 10:25:28,I,2024-12-04 22:05:00.0,커피숍,211830.72183407,442835.779353182,커피숍
8,제과점영업,07_22_01_P,3230000,3230000-104-2025-00241,2025-07-04,,01,영업/정상,01,영업,,,,,,66.12,138-200,서울특별시 송파구 문정동 75-9,"서울특별시 송파구 새말로8길 30, 1층 101호 (문정동)",05817,우지커피 장지역점,2025-07-04 16:21:24,I,2024-12-07 00:06:00.0,커피숍,211132.533390588,442002.841604704,커피숍
9,제과점영업,07_22_01_P,3230000,3230000-104-2025-00198,2025-05-30,,01,영업/정상,01,영업,,,,,,45.95,138-888,서울특별시 송파구 문정동 652-5 문정 아이파크,"서울특별시 송파구 법원로4길 6, 문정 아이파크 1동 1층 113호 (문정동)",05855,과일만찬,2025-05-30 13:12:29,I,2024-12-06 00:01:00.0,기타 휴게음식점,,,기타 휴게음식점
10,제과점영업,07_22_01_P,3230000,3230000-104-2022-00095,2022-04-22,,01,영업/정상,01,영업,,,,,,22.96,138-960,서울특별시 송파구 문정동 634 가든파이브라이프 ,"서울특별시 송파구 충민로 66, 가든파이브라이프 6층 T-6131호 (문정동)",05838,패니발코리아(Fanival Korea),2022-04-22 13:13:17,I,2022-04-24 00:22:33.0,기타 휴게음식점,210986.460698452    ,441725.293491662    ,기타 휴게음식점
11,제과점영업,07_22_01_P,3230000,3230000-104-2019-00105,2019-03-26,,01,영업/정상,01,영업,,,,,02  69161500,3.30,138-200,서울특별시 송파구 문정동 97 대명빌딩 ,"서울특별시 송파구 새말로 136, 대명빌딩 1층 (문정동)",05799,이마트24 R문정대명점,2022-03-16 15:20:08,U,2022-03-19 02:40:00.0,기타 휴게음식점,211350.099419457    ,442328.447083979    ,기타 휴게음식점
12,제과점영업,07_22_01_P,3230000,3230000-104-2019-00095,2019-03-20,,01,영업/정상,01,영업,,,,,,33.00,138-826,서울특별시 송파구 문정동 67-8 ,"서울특별시 송파구 문정로4길 26, 1층 104호 (문정동)",05807,카페인중독 문정점,2024-04-18 14:34:50,U,2024-04-20 02:40:00.0,기타 휴게음식점,211082.7734435      ,442425.136814767    ,기타 휴게음식점
13,제과점영업,07_22_01_P,3230000,3230000-104-2019-00035,2019-01-28,,01,영업/정상,01,영업,,,,,070 42214878,48.46,138-885,서울특별시 송파구 문정동 150번지 올림픽훼밀리타운 ,"서울특별시 송파구 중대로 24, 지하1층 115,116호 (문정동, 올림픽훼밀리타운)",05834,뉴욕커피,2019-01-28 17:37:58,I,2019-01-30 02:21:05.0,기타 휴게음식점,210045.748264305    ,442930.687284628    ,기타 휴게음식점
14,제과점영업,07_22_01_P,3230000,3230000-104-2018-00432,2018-11-29,,01,영업/정상,01,영업,,,,,,33.00,138-200,서울특별시 송파구 문정동 112-8 ,"서울특별시 송파구 송이로38길 8, 예우재 1층 101호 (문정동)",05799,OASIS UNCLE(오아시스엉클),2023-06-19 11:50:36,U,2023-06-21 02:40:00.0,기타 휴게음식점,211698.093642673    ,442668.261365797    ,기타 휴게음식점
15,제과점영업,07_22_01_P,3230000,3230000-104-2019-00025,2019-01-21,,01,영업/정상,01,영업,,,,,,247.50,138-888,서울특별시 송파구 문정동 643-1 엠스테이트 ,"서울특별시 송파구 법원로 114, 엠스테이트 B동 1층 112~117호 (문정동)",05854,투썸플레이스 문정역점,2023-07-20 17:15:27,U,2023-07-22 02:40:00.0,기타 휴게음식점,,,기타 휴게음식점
16,제과점영업,07_22_01_P,3230000,3230000-104-2019-00077,2019-03-07,,01,영업/정상,01,영업,,,,,,45.50,138-200,서울특별시 송파구 문정동 78-10번지 대광빌딩 ,"서울특별시 송파구 새말로10길 8-1, 1층 101호 (문정동)",05810,씨유(CU) 문정 장지점,2019-03-07 14:24:19,I,2019-03-09 02:21:44.0,기타 휴게음식점,211191.08472706     ,442211.675430348    ,기타 휴게음식점
17,제과점영업,07_22_01_P,3230000,3230000-104-2023-00291,2023-07-13,,01,영업/정상,01,영업,,,,,,56.00,138-888,서울특별시 송파구 문정동 652-4 힐스테이트에코문정 ,"서울특별시 송파구 법원로4길 10, 힐스테이트에코문정 129호, 130호 (문정동)",05855,지에스25 문정힐스테이트점,2023-07-13 14:18:13,I,2023-07-15 00:19:09.0,편의점,,,편의점
18,제과점영업,07_22_01_P,3230000,3230000-104-2023-00338,2023-08-23,,01,영업/정상,01,영업,,,,,,33.00,138-200,서울특별시 송파구 문정동 96 ,"서울특별시 송파구 송이로36길 47, 1층 103호 (문정동)",05802,수눈,2023-08-23 15:15:00,I,2023-08-25 00:18:32.0,커피숍,211322.8975109      ,442376.88723839     ,커피숍
19,제과점영업,07_22_01_P,3230000,3230000-104-2023-00351,2023-09-04,,01,영업/정상,01,영업,,,,,,22.52,138-823,서울특별시 송파구 문정동 1 문정래미안아파트 ,"서울특별시 송파구 문정로 83, 상가동 B106호 (문정동, 문정래미안아파트)",05794,덤보네 김밥,2023-09-04 15:28:48,I,2023-09-06 00:18:13.0,기타 휴게음식점,211453.050926808    ,443165.755655708    ,기타 휴게음식점
20,제과점영업,07_22_01_P,3230000,3230000-104-2023-00352,2023-09-04,,01,영업/정상,01,영업,,,,,02  430 0905,30.00,138-824,서울특별시 송파구 문정동 9-7 ,"서울특별시 송파구 송이로 202, 1층 103호 (문정동)",05796,쌀어묵공방 문정점,2023-09-04 15:44:28,I,2023-09-06 00:18:13.0,일반조리판매,211261.608857952    ,443085.158158341    ,일반조리판매
